method weights_type l_rate n_rate avg_of_final_quantization_error standard_deviation minimal_error avg_number_of_inactive_neurons standard_deviation
WTM random 0.09399205771430047 0.3674144542423294 0.8864772601043639 0.17632674023575853 0.6163119538567394 11.56 2.4344198487524706
CWTA random 0.3968654174793491 empty 0.3017505177179971 0.006705736237278198 0.29043151913964255 0.0 0.0
CWTA random 0.4971069345307711 empty 0.3007563867141823 0.00627046026867935 0.29112062590431237 0.05 0.2598076211353316
WTA random 0.5861978147931854 empty 0.8358791987113463 0.16459958260159405 0.6042641302692165 16.39 0.9989494481704269
WTM dataset 0.11102930853073328 0.2081428638744657 0.30845945896342336 0.00990112121029365 0.2927963200304096 0.0 0.0
WTA random 0.17265486465571514 empty 0.9004106464656858 0.20318848927012223 0.5587988069425013 16.58 1.1417530380953667
WTA dataset 0.31016762874643666 empty 0.2977014037593811 0.004921856537519821 0.28924121713116996 0.0 0.0
WTM dataset 0.24894967300648874 0.008249336646935515 0.29877664695099276 0.005977595969125614 0.28982021870255187 0.02 0.13999999999999999
WTA dataset 0.3961074542342193 empty 0.29604212934181157 0.0039340047388628455 0.2885072700751417 0.0 0.0
WTM dataset 0.1672525528407484 0.5494862586056756 0.3055609357363693 0.005940109309818938 0.2911076590519338 0.0 0.0
