method weights_type l_rate n_rate avg_of_final_quantization_error standard_deviation minimal_error avg_number_of_inactive_neurons standard_deviation
WTA random 0.46636646409002047 empty 0.9169880026018912 0.1398030404825091 0.6360031615166611 13.49 1.3228378585450298
WTM random 0.7744330102630597 0.8706056515278001 0.478317145116724 0.009773163347739729 0.45687199240227 0.0 0.0
CWTA dataset 0.6087803696175721 empty 0.45942169447602255 0.0027095494373031628 0.45457510967068365 0.0 0.0
WTM random 0.9864049345371086 0.4174206073461415 0.5191541805172692 0.03522514225497576 0.45572521129409593 1.35 1.6515144564913746
WTA dataset 0.5752413322931899 empty 0.4589677559084459 0.0035243856668376356 0.45265937530090705 0.0 0.0
WTM random 0.9404836987829316 0.6718837684035479 0.4765287726548943 0.011813144135674478 0.4546178550146122 0.0 0.0
WTA random 0.4266859813730383 empty 0.9066902537371441 0.15611442362610808 0.65454866985938 13.42 1.517761509592334
CWTA random 0.3845818740257706 empty 0.46340920708390043 0.005362992487031397 0.4545342078856742 0.0 0.0
WTM random 0.17874590979338523 0.13241447577805368 0.9456869766946504 0.1463822372523688 0.604336673880002 6.79 2.4629047890651394
WTA dataset 0.5793035959887902 empty 0.45896167602693866 0.0029404807425183334 0.4525793688796729 0.0 0.0
