method weights_type l_rate n_rate avg_of_final_quantization_error standard_deviation minimal_error avg_number_of_inactive_neurons standard_deviation
NeuralGas random 0.4052754050836612 0.19533724234181066 0.8446722344835226 0.15255803779554358 0.5958394559088488 7.54 1.291665591397402
NeuralGas dataset 0.4491247663441164 0.6032200600345021 0.3052500200357066 0.00358000459729413 0.29810449229078084 0.0 0.0
NeuralGas dataset 0.8897748953949062 0.40254952009529565 0.3054740199008598 0.004259005257740505 0.2986860059786428 0.0 0.0
NeuralGas dataset 0.9330444941113152 0.18482791977208438 0.3054930002481354 0.003871121694158137 0.29891709003171274 0.0 0.0
NeuralGas random 0.5392078785503799 0.0018054923447048984 0.868857214490846 0.17894821944477388 0.6174833245984616 16.55 0.9733961166965892
NeuralGas dataset 0.7225925776386036 0.9734780288988579 0.30523573996446496 0.003583075662638528 0.29946881202050957 0.0 0.0
NeuralGas random 0.17945457707007137 0.5823991515052085 0.7169202158795015 0.08003248679777823 0.5956225103222655 0.0 0.0
NeuralGas dataset 0.014076840154713176 0.4319502147397693 0.3603969978420716 0.013408289392551393 0.32996014050184913 0.0 0.0
NeuralGas dataset 0.08846195411403847 0.7813250990876055 0.32328893007909554 0.007398117353162387 0.30775420467014525 0.0 0.0
NeuralGas random 0.17478804260639652 0.6171355614902226 0.727986244078102 0.08763924304544464 0.554464725214196 0.0 0.0
