method weights_type l_rate n_rate avg_of_final_quantization_error standard_deviation minimal_error avg_number_of_inactive_neurons standard_deviation
NeuralGas dataset 0.9739286049350846 0.46755918415721326 0.44502361515329597 0.004330411101921886 0.440573223102489 0.0 0.0
NeuralGas random 0.022906484046746865 0.4381586885444918 0.9541110448064269 0.10540687299029736 0.7419259772267477 0.0 0.0
NeuralGas random 0.6483661316495952 0.3522246717616699 0.788579150459484 0.07258076998072784 0.6112309675432734 0.0 0.0
NeuralGas random 0.19678840803656003 0.9929208041473918 0.6525610842909471 0.029289240019275468 0.5797328868212045 0.0 0.0
NeuralGas dataset 0.729560253983397 0.7862691146327779 0.4441851823626214 0.00387659468333338 0.44050744303854106 0.0 0.0
NeuralGas random 0.9783365551636788 0.7674856783105007 0.6311759128227272 0.032137855068502856 0.551579798766596 0.0 0.0
NeuralGas dataset 0.8851589513017766 0.01438786482580251 0.4442406252413539 0.004196197384218112 0.44049619821390157 0.0 0.0
NeuralGas dataset 0.44746165740540855 0.5312219197843329 0.4441657008533893 0.003711570751365071 0.44043988543994284 0.0 0.0
NeuralGas random 0.47071751149573804 0.885812865144047 0.627785076418429 0.028495190766752464 0.551334003759363 0.0 0.0
NeuralGas random 0.9057000680296422 0.6997865027390103 0.648567582669754 0.0349745042253357 0.5315196844523932 0.0 0.0
