method weights_type l_rate n_rate avg_of_final_quantization_error standard_deviation minimal_error avg_number_of_inactive_neurons standard_deviation
empty dataset empty empty 0.3204021725916 0.00818928662111106 0.300866492888142 0.0 0.0
empty random empty empty 0.8044177761423299 0.15806445055443294 0.5550263098504036 16.03 1.1353853971229328
empty dataset empty empty 0.31948524934645944 0.008904475484646544 0.3041812947573781 0.0 0.0
empty dataset empty empty 0.3193194335236741 0.007156238393467087 0.3053135381377115 0.0 0.0
empty random empty empty 0.8158007004714999 0.15095067140562568 0.5957737464732276 16.17 1.0300970828033638
empty random empty empty 0.8123408488226712 0.17137096588416145 0.5756536770973828 16.09 1.1410083259994206
empty random empty empty 0.8135867660360786 0.1886405669866678 0.5822040036512162 16.01 1.284484332329515
empty dataset empty empty 0.3202883653400051 0.008589414324846287 0.30671109515383316 0.01 0.09949874371066199
empty random empty empty 0.80979040414353 0.1439545078081255 0.531142405567026 16.06 1.1984990613262907
empty random empty empty 0.79621856028807 0.1719656497717409 0.5285126569059432 15.97 1.1786008654332476
