method weights_type l_rate n_rate avg_of_final_quantization_error standard_deviation minimal_error avg_number_of_inactive_neurons standard_deviation
empty dataset empty empty 0.4606599462451574 0.009332455235076621 0.4424714945140188 0.0 0.0
empty random empty empty 0.8477709269588665 0.09487805536710998 0.6438224916912337 12.85 1.3518505834595775
empty random empty empty 0.8250026950293815 0.1009299182088308 0.6483252057281219 12.44 1.538310761842353
empty dataset empty empty 0.4580456136753892 0.007031282652442226 0.4436256166728528 0.0 0.0
empty dataset empty empty 0.45931050924359923 0.008337566633600475 0.44525105195757847 0.0 0.0
empty random empty empty 0.842449789336023 0.11805986860389266 0.6406471419035143 12.65 1.6332482971061075
empty dataset empty empty 0.4588538407233768 0.008638443019852362 0.44389559307948595 0.0 0.0
empty dataset empty empty 0.45970057703176914 0.008957393542478202 0.44505277725421394 0.0 0.0
empty dataset empty empty 0.458554151729885 0.008472007034040732 0.4422065162929932 0.0 0.0
empty random empty empty 0.8032788724072555 0.10061199933665878 0.6539974438860245 12.16 1.4192955999368135
